date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:13:24	142632/142632	---M--	200	added ('OK')	text/html	etag:%22b9e89f08cf4bb47345102e4b5cbbc37f%22	http://luma.humatheme.com/index.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/index.html	(from )
04:13:26	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2002%20Jun%202020%2009:13:23%20GMT	http://luma.humatheme.com/robots.txt		(from )
04:13:27	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	http://luma.humatheme.com/assets/vendor/perfect-scrollbar.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/vendor/perfect-scrollbar.css	(from http://luma.humatheme.com/index.html)
04:13:27	1184/1184	---MC-	200	added ('OK')	text/css	date:Tue,%2002%20Jun%202020%2009:13:26%20GMT	https://fonts.googleapis.com/css?family=Lato:400,700%7CRoboto:400,500%7CExo+2:600&display=swap	C:/My%20Web%20Sites/Luma/fonts.googleapis.com/css8f03.css	(from http://luma.humatheme.com/index.html)
04:13:27	135/135	---M--	200	added ('OK')	text/css	etag:%2269f6357b0677a451080a656c5800dc5e%22	http://luma.humatheme.com/assets/vendor/fix-footer.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/vendor/fix-footer.css	(from http://luma.humatheme.com/index.html)
04:13:27	748/748	---M--	200	added ('OK')	text/css	etag:%22069e9a3c87ceea44e85088ef8f41a306%22	http://luma.humatheme.com/assets/css/material-icons.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/css/material-icons.css	(from http://luma.humatheme.com/index.html)
04:13:29	74171/74171	---M--	200	added ('OK')	text/css	etag:%22ccfda71bedd535017839bd8e89e436cd%22	http://luma.humatheme.com/assets/css/fontawesome.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/css/fontawesome.css	(from http://luma.humatheme.com/index.html)
04:13:29	798/798	---M--	200	added ('OK')	text/css	etag:%224bd169cd677ac3f1b6c74d6df81d6a25%22	http://luma.humatheme.com/assets/css/preloader.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/css/preloader.css	(from http://luma.humatheme.com/index.html)
04:13:36	577704/577704	---M--	200	added ('OK')	text/css	etag:%22b519bfca254eeac5091e6181c6580d62%22	http://luma.humatheme.com/assets/css/app.css	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/css/app.css	(from http://luma.humatheme.com/index.html)
04:13:38	142632/142632	---M--	200	added ('OK')	text/html	etag:%22b9e89f08cf4bb47345102e4b5cbbc37f%22	http://luma.humatheme.com/fixed-index.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-index.html	(from http://luma.humatheme.com/index.html)
04:13:39	6111/6111	---M--	200	added ('OK')	image/svg+xml	etag:%227d3fe9729bf14d219d41c068d69ab2c9%22	http://luma.humatheme.com/assets/images/illustration/student/128/white.svg	C:/My%20Web%20Sites/Luma/luma.humatheme.com/assets/images/illustration/student/128/white.svg	(from http://luma.humatheme.com/index.html)
04:13:40	179684/179684	---M--	200	added ('OK')	text/html	etag:%22a26ec2923f972432129caa23a6f0b11a%22	http://luma.humatheme.com/fixed-courses.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-courses.html	(from http://luma.humatheme.com/index.html)
04:13:43	133330/133330	---M--	200	added ('OK')	text/html	etag:%225793cf0406a018030926e0c99eb55bb4%22	http://luma.humatheme.com/fixed-student-course.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-course.html	(from http://luma.humatheme.com/index.html)
04:13:43	60382/60382	---M--	200	added ('OK')	text/html	etag:%22996fc8b22816e04eba7e24f9e9972249%22	http://luma.humatheme.com/fixed-student-lesson.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-lesson.html	(from http://luma.humatheme.com/index.html)
04:13:46	136195/136195	---M--	200	added ('OK')	text/html	etag:%22928184c195473d47aa720bef3e85a34d%22	http://luma.humatheme.com/fixed-student-take-course.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-take-course.html	(from http://luma.humatheme.com/index.html)
04:13:47	69979/69979	---M--	200	added ('OK')	text/html	etag:%228fa6b14945eee4d90aaae8790ba425d7%22	http://luma.humatheme.com/fixed-student-take-lesson.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-take-lesson.html	(from http://luma.humatheme.com/index.html)
04:13:48	64563/64563	---M--	200	added ('OK')	text/html	etag:%2201c535790dfe258742916bc81131715c%22	http://luma.humatheme.com/fixed-student-take-quiz.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-take-quiz.html	(from http://luma.humatheme.com/index.html)
04:13:50	63060/63060	---M--	200	added ('OK')	text/html	etag:%22ecaa9d656b0a389b71e77c1f7b531498%22	http://luma.humatheme.com/fixed-student-quiz-result-details.html	C:/My%20Web%20Sites/Luma/luma.humatheme.com/fixed-student-quiz-result-details.html	(from http://luma.humatheme.com/index.html)
